BPI RK,TEAM,CONF,BPI,PVA,CONF RK,W-L,RAW,RAW RK,SOS,SOS RK,VAR,VAR RK
214,St. Peter's,MAAC,45.1,-1.6,7,16-18,51.3,177,43.7,225,25.4,7
215,Houston,American,44.9,-1.6,8,13-19,44.3,246,50.6,143,21.9,58
216,Lehigh,Patriot,44.8,-1.6,5,16-14,51.5,174,43.3,236,22.4,46
217,Denver,Summit,44.5,-1.7,5,18-Dec,47.2,222,47.3,179,26.9,2
218,East Carolina,American,44.3,-1.8,9,14-19,43.8,251,50.5,145,21.6,63
219,UTSA,C-USA,44.2,-1.8,8,14-16,50.2,190,44,221,25.5,6
220,UC Riverside,Big West,43.9,-1.9,7,14-17,48,213,45.9,194,16.8,257
221,MD-E Shore,MEAC,43.9,-1.9,3,18-14,53.8,146,40.1,304,22,56
222,Northwestern St,Southland,43.7,-2,4,19-12,53.5,148,40.3,298,18.4,203
223,South Dakota,Summit,43.5,-2.1,6,17-16,49.9,195,43.7,227,23.3,29
224,Texas A&M-CC,Southland,43.5,-2.1,5,19-13,53.3,150,40.2,303,20.4,118
225,Milwaukee,Horizon,43.4,-2.1,6,14-16,44.1,249,49.3,156,22.9,34
226,Texas State,Sun Belt,43,-2.2,6,14-17,50.8,184,42.2,257,21.1,87
227,W Carolina,Southern,42.9,-2.3,5,15-17,48.2,212,44.7,215,20.3,119
228,S Illinois,MVC,42.7,-2.3,7,21-Dec,43.5,258,49.1,159,18.5,196
229,Seattle U,WAC,42.5,-2.4,2,16-14,51.7,171,40.8,286,29.4,1
230,UNC Asheville,Big South,42.4,-2.4,7,15-16,51,180,41.4,277,19.9,135
231,Mount St Mary's,NEC,42.4,-2.4,3,15-15,48.9,204,43.5,230,21.8,61
232,St Francis (PA),NEC,42.2,-2.5,4,16-15,51.8,169,40.5,294,22.2,50
233,Wright State,Horizon,41.9,-2.6,7,20-Nov,44,250,47.8,172,24.2,15
234,Grand Canyon,WAC,41.7,-2.7,3,17-14,52.2,161,39.5,313,19.8,143
235,North Texas,C-USA,41.6,-2.7,9,14-17,43.7,256,47.9,171,20.7,101
236,Pacific,WCC,41.3,-2.8,9,19-Dec,39.9,280,51.4,135,16,277
237,CSU Bakersfield,WAC,41.3,-2.8,4,14-19,52.6,155,38.6,324,19.1,170
238,Ohio,MAC,41.2,-2.8,11,20-Oct,38,299,53.1,118,22.5,41
239,SE Missouri St,OVC,40.8,-2.9,7,13-17,49.3,199,41.5,276,19.3,162
240,Tenn Tech,OVC,40.7,-3,8,18-Dec,47.6,218,43.1,239,21,90
241,Missouri State,MVC,40.7,-3,8,20-Nov,39.8,282,50.9,139,19.2,166
242,Delaware State,MEAC,40.7,-3,4,18-16,51,181,39.7,310,20.3,120
243,Rice,C-USA,40.4,-3.1,10,20-Dec,44.3,243,46.1,192,20.5,110
244,N Kentucky,A-Sun,40.4,-3.1,4,13-17,47.6,219,42.8,246,25.9,4
245,Saint Louis,A 10,40.3,-3.1,14,21-Nov,35.5,316,54.8,110,19.5,153
246,Holy Cross,Patriot,40.1,-3.2,6,14-16,46.8,223,43.3,235,25.8,5
247,Boston U,Patriot,40.1,-3.2,7,13-17,45.4,234,44.7,214,21.1,88
248,UCF,American,40,-3.2,10,18-Dec,38.3,295,51.7,131,17.9,218
249,AR-Little Rock,Sun Belt,40,-3.2,7,13-18,47.9,214,42.1,259,17,248
250,Idaho,Big Sky,39.9,-3.3,5,13-17,49.9,193,39.9,307,20.8,97
251,SIU Edwardsville,OVC,39.7,-3.3,9,16-Dec,48.8,206,40.9,284,22.2,52
252,Sacred Heart,NEC,39.6,-3.3,5,15-17,50.9,182,38.7,323,20.1,130
253,Drexel,CAA,39.5,-3.4,6,19-Nov,40.6,276,48.9,164,22.8,35
254,Elon,CAA,39.4,-3.4,7,15-18,46,229,43.4,234,22,55
255,Portland St,Big Sky,39.4,-3.4,6,15-14,49.2,200,40.2,302,22.4,45
256,Loyola Mary,WCC,39.3,-3.4,10,23-Aug,31.9,339,57.4,93,17.5,239
257,N. Colorado,Big Sky,38.9,-3.6,7,15-15,50.9,183,37.9,330,18.1,214
258,Marshall,C-USA,38.6,-3.7,11,21-Nov,39.5,284,49.1,160,23.7,23
259,Bryant,NEC,38.5,-3.7,6,16-15,46.3,226,42.2,255,19,174
260,Bradley,MVC,38.2,-3.8,9,24-Sep,36.1,314,52.1,127,18.7,188
261,Alabama State,SWAC,38.1,-3.8,2,19-10,59.1,97,29,351,18,217
262,Army,Patriot,38,-3.9,8,15-15,47.5,220,40.5,293,23.2,30
263,Furman,Southern,38,-3.9,6,22-Nov,41.4,273,46.6,187,21.3,79
264,South Florida,American,37.9,-3.9,11,23-Sep,34.3,326,53.6,115,18.5,199
265,Brown,Ivy,37.7,-4,7,13-18,42.2,267,45.6,199,21.3,77
266,Drake,MVC,37.7,-4,10,22-Sep,34.7,324,53,121,18.7,190
267,Lamar,Southland,37.5,-4,6,15-15,50.3,188,37.2,337,17.5,238
268,VMI,Southern,37.3,-4.1,7,19-Nov,43.7,255,43.6,228,22.6,38
269,Navy,Patriot,37.3,-4.1,9,13-19,43.8,253,43.5,229,24.2,14
270,FIU,C-USA,37.2,-4.2,12,16-17,43.8,254,43.4,233,19.9,136
271,Samford,Southern,37.1,-4.2,8,13-19,45.1,237,42,261,20.4,117
272,Weber State,Big Sky,36.7,-4.3,8,13-17,45.1,238,41.6,271,16.5,267
273,Delaware,CAA,36.7,-4.3,8,20-Oct,38.3,296,48.4,165,22.4,43
274,Ball State,MAC,36.6,-4.3,12,23-Jul,36.1,313,50.5,144,17.1,245
275,CS Northridge,Big West,36.4,-4.4,8,24-Sep,38.1,298,48.3,166,16.4,270
276,Southern,SWAC,36.4,-4.4,3,18-16,52.1,164,34.3,349,16,276
277,Omaha,Summit,36.3,-4.5,7,17-Dec,46.8,224,39.5,316,21.5,70
278,Siena,MAAC,36.2,-4.5,8,20-Nov,41.5,272,44.7,213,19.3,164
279,Howard,MEAC,36.1,-4.5,5,16-16,51.8,167,34.3,348,16.6,262
280,Nevada,MW,36,-4.6,10,22-Sep,38.4,293,47.6,173,18.3,206
281,Pennsylvania,Ivy,35.6,-4.7,8,19-Sep,35.1,320,50.5,146,22.4,44
282,Towson,CAA,35.6,-4.7,9,20-Dec,44.3,244,41.3,278,14.8,308
283,UMKC,WAC,35.5,-4.7,5,14-19,46.2,227,39.3,318,21.5,72
284,Youngstown St,Horizon,35.4,-4.8,8,21-Nov,40.4,278,45,209,17.3,241
285,Florida Atl,C-USA,35,-4.9,13,20-Sep,39.7,283,45.2,202,20.1,132
286,Charleston,CAA,34.6,-5,10,24-Sep,35.6,315,49.1,161,20.1,129
287,Hartford,Am. East,34.5,-5.1,5,14-16,43.7,257,40.8,287,17.7,231
288,UNC Greensboro,Southern,34.4,-5.1,9,22-Nov,43.1,263,41.2,279,19.8,139
289,UIC,Horizon,34.3,-5.1,9,24-Oct,36.9,306,47.4,176,17.8,225
290,Campbell,Big South,34.2,-5.2,8,22-Oct,43.3,261,40.9,283,20.8,98
291,Arkansas State,Sun Belt,34,-5.2,8,18-Nov,41.8,270,42.2,252,20.5,108
292,Appalachian St,Sun Belt,34,-5.2,9,17-Dec,38.4,292,45.6,198,23.4,27
293,Lipscomb,A-Sun,33.5,-5.4,5,14-17,44.8,239,38.7,322,17.3,240
294,McNeese State,Southland,33.3,-5.5,7,15-16,46.2,228,37.1,338,16.7,260
295,CS Fullerton,Big West,33.1,-5.6,9,22-Sep,37.7,301,45.4,201,18.2,211
296,Hampton,MEAC,33.1,-5.6,6,15-17,46,230,37,339,17.3,242
297,LIU Brooklyn,NEC,32.6,-5.8,7,18-Dec,42.1,268,40.5,296,18.2,209
298,Houston Baptist,Southland,32.3,-5.8,8,16-Dec,44.4,242,38,329,20,133
299,SE Louisiana,Southland,32.2,-5.9,9,23-Sep,40.7,275,41.6,275,20.9,94
300,South Alabama,Sun Belt,32.1,-5.9,10,21-Dec,39.5,285,42.6,249,17.6,236
301,IUPUI,Summit,32.1,-5.9,8,21-Oct,35.2,318,46.9,184,18.6,194
302,PV A&M,SWAC,32.1,-5.9,4,15-18,45.2,236,36.9,340,16.7,258
303,Southern Miss,C-USA,31.7,-6.1,14,20-Sep,34.2,327,47.5,175,16.6,265
304,Fairfield,MAAC,31.7,-6.1,9,24-Jul,36.5,309,45.1,205,17.6,234
305,Troy,Sun Belt,31.6,-6.1,11,19-Oct,43.2,262,38.4,326,15.7,284
306,New Orleans,Southland,31.1,-6.3,10,18-Nov,44.6,241,36.6,342,15.2,297
307,Jacksonville St,OVC,31.1,-6.3,10,19-Dec,39.4,286,41.6,270,20.4,115
308,Utah Valley,WAC,31,-6.3,6,19-Nov,39.3,288,41.7,269,23.1,31
309,UMass Lowell,Am. East,30.9,-6.4,6,17-Dec,39.2,289,41.7,268,19.2,165
310,Loyola (MD),Patriot,30,-6.7,10,19-Nov,35.3,317,44.7,216,21.2,84
